text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
Q: You were there until the time you left is that true? #dumb #question,,omyfalzer,10928829308,118996075,en,web,,,0,0,0,0
#Question What does everyone have & Pirates try to get?... "The Booty" #nowplaying A Tribe Called Quest,,diana626,10928852211,84703925,en,web,,,0,0,0,0
Does anyone know of a good hitman that offers student discounts? #question,,jonathaneisaacs,10929317811,56776509,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
Q: What is the #1 struggle new business owners have when marketing their business? http://mcclip.me/Fflp #question,,MCAnswers,10929492552,116595427,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
RT @MCAnswers2010Q: Can a 16 year Old end up making it in the NHL?(How to make it into the NHL)? http://mcclip.me/FflW #question,,ask_questions,10929571371,83249888,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @MCAnswers2010Q: Whats the difference between Boxing and WWE? http://mcclip.me/FflV #question,,ask_questions,10929574120,83249888,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @jonathaneisaacs2010Does anyone know of a good hitman that offers student discounts? #question,,ask_questions,10929569737,83249888,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
@MONTANADELEON #Question how old are u?,16541216,MikeLucci82,10929645749,64006789,en,<a href="http://twidroid.com" rel="nofollow">twidroid</a>,,,0,0,0,0
RT @MCAnswers2010Q: What is the #1 struggle new business owners have when marketing their business? http://mcclip.me/Fflp #question,,ask_questions,10929567704,83249888,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
#QUESTION: IS THIS A MAN OR WOMAN--&gt; @LadyDrunkeyo,,ThouShaltSTFU,10929857172,55368531,en,<a href="http://echofon.com/" rel="nofollow">Echofon</a>,,,0,0,0,0
Q: looking for wholesale lots of novelty headbands http://mcclip.me/Fflv #question,,MCAnswers,10929937572,116595427,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Q: Do "Open Houses" really help with generating offers on a house that is trying to be sold? http://mcclip.me/Fflu #question,,MCReal_Estate,10929934831,111435965,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Can i find my model id just after saving it. http://cakeqs.org/s/ht  #question #cakephp #modelssavekeys,,CakeQs,10930238735,73499006,en,<a href="http://cakeqs.org/" rel="nofollow">CakePHP Questions</a>,,,0,0,0,0
#question How many people believe in love nowadays....!?,,mickeychocho,10930419489,44335284,en,<a href="http://www.stone.com/Twittelator" rel="nofollow">Twittelator</a>,,,0,0,0,0
#Question - Does Pharrell have a Twitter?,,MaseDotCom,10930514882,25300748,en,<a href="/devices" rel="nofollow">txt</a>,,,0,0,0,0
#Question how is this man working for ups and he only has two fingers on one hand?? I mean you need all your fingers to lift boxes right?,,i_RoMeO,10930859302,25437238,en,web,,,0,0,0,0
#Question Who Actually Read The Entire Health Care Reform Bill? - YFDF!,,YFDF,10930903167,77321455,en,web,,,0,0,0,0
#question if i got bumped off the health insurance from my parents cuz i graduated can I get put back on w/ the new bill since im under 26?,,iLoveVee,10930973984,34340564,en,<a href="http://echofon.com/" rel="nofollow">Echofon</a>,,,0,0,0,0
@ShyFantastic #question wats the diffrence between bbm n texting? is it better?,18982595,OmgItsKiaZ,10930997357,87231654,en,<a href="http://www.snaptu.com/a/twitter" rel="nofollow">Snaptu</a>,,,0,0,0,0
Q: I need a car for this Friday for 1 week please. http://mcclip.me/Ffme #question,,MCAnswers,10930814957,116595427,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
RT @KOmuhfuknDAK GOT A LUNCH DATE SINCE SHE ASKED ME IT MEANS SHE PAYS RIGHT? #QUESTION|YUUP,35021057,MrMadeYouLook,10932145019,42034144,en,<a href="http://www.deliciousmorsel.com/app/twee" rel="nofollow">Twee</a>,,,0,0,0,0
RT @ask_questions: RT @w_nicht2010I am looking forward to meet some new people #doubt #question #information #mccann #nofool #dontbeliev ...,,gatodabruxa,10932565691,85358765,en,web,,,0,0,0,0
Q: Were these players used to be good? Why did they stuggled later on? http://mcclip.me/Ffng #question,,MCAnswers,10932139415,116595427,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Q: water pump for a 2001 ford f150? http://mcclip.me/Ffnd #question,,MCAutoCare,10932135959,111434010,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Q: Why is the EU so complicated? http://mcclip.me/Ffni #question,,MCAnswers,10932140931,116595427,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Q: What is your opinion on Mac computers? http://mcclip.me/Ffnh #question,,MCAnswers,10932140387,116595427,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Q: Are talks going to start about kicking the Yankees out of the league? http://mcclip.me/Ffnf #question,,MCAnswers,10932138467,116595427,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Q: What are some personal information of Batista wrestler? http://mcclip.me/Ffnj #question,,MCAnswers,10932141907,116595427,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Q: Is this year going to be a breeze for the Yankees or do you give the Roid Sox a chance? http://mcclip.me/Ffne #question,,MCAnswers,10932137168,116595427,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Have a Successful #Job #Interview with the Perfect Answers to Popular Interview #Questions! Click here for the article: http://bit.ly/6LneNu,,RUcareers,10932807197,76339922,en,web,,,0,0,0,0
we are having a heated debate at work: YUR FAKE/PLASTIC BCUZ U WEAR FAKE HAIRNAILSEYELASHES????#QUESTION,,StupidPRETTi,10933120593,100616153,en,<a href="http://m.slandr.net" rel="nofollow">m.slandr.net</a>,,,0,0,0,0
RT @franknitty12 #question so if a chick tells u she good but calls u everyday what dat mean &gt;&gt; lol she want u. But u gotta make the move,106302726,latycia,10933330328,32152252,en,<a href="http://www.nibirutech.com" rel="nofollow">TwitBird iPhone</a>,,,0,0,0,0
Q: what kind of car oil do i need? http://mcclip.me/FfoS #question,,MCAutoCare,10933415584,111434010,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Q: can i change my low profile tires to a standard tire? http://mcclip.me/FfoT #question,,MCAutoCare,10933416378,111434010,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
#question if i say faggot around a lesbian is that a violation?,,mrtj822,10933427164,25268578,en,<a href="http://mobileways.de/gravity" rel="nofollow">Gravity</a>,,,0,0,0,0
Q: what are the names of new businesses opened in 2010 in nixa mo. http://mcclip.me/FfoP #question,,MCAnswers,10933412140,116595427,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
